Ce CD est vraiment magnifique. Un grand coup de chapeau pour tout l'album mais surtout le premier morceau Lovin' in my baby's eyes que j'adore(il me fait un peu penser à du Bob Dylan). Le reste est tout aussi génial, avec des morceaux plus rhythmés et moins rhythmés. Enfin c'est du tout bon comme d'habitude avec taj mahal.	1
"Les hasards de la vie ont fait que j'étais resté près de trente ans sans réécouter ce chef d'oeuvre... Quelle vie gâchée! Je crois qu'on s'enferme dans un débat un peu verbal quand on accole à ce titre l'étiquette de ""psychédélique"", compliment empoisonné le plus souvent. La ""soul music"" n'est pour les Floyd qu'un terreau, une base de départ. Planera qui voudra, moi ce CD me fait penser à Joyce, que je découvrais d'ailleurs à la même époque: même féroce nostalgie, même rage de l'expression, absence superbe et délibérée de tout ""message"", c'est le lyrisme à l'état pur, induit à partir des bruits les plus banals de la vie quotidienne et organisé autour de la recherche d'un sens qui se dérobe... Jamais les Floyd ne cèdent à la tentation de la virtuosité pour la virtuosité, ni à celle de l'emphase. Je crois qu'il faut prendre très au sérieux le titre, qui suggère la recherche d'une sorte de matrice originelle dont tous nos rêves et de tous nos fantasmes, ou du moins beaucoup d'entre eux, seraient issus. Confrontés au vertige de la régression, les Floyd s'en sortent brillamment, grâce à leur umpressionnante palette de moyens musicaux, leur capacité de distanciation et aussi cette pointe d'humour qui est comme leur marque de fabrique. Vraiment un sommet."	1
"Alors que depeche Mode n'était vaguement connu que pour son tube ""just can' t get enough"" issu du premier album construit par Vince Clarke , le groupe signe ici un opus qui le propulse dans les classements francais avec notamment ""people are people"" . L'amorce de l'experimentation musicale menée avec ""construction time again"",le précédent album prend ici toute son ampleur avec des titres tels que ""blasphemous rumours"" ou ""something to do"" . Sampling, rythmes efficaces et mélodies imparables marquent le véritable tournant de ce groupe unique ."	1
Quel dommage... Un si beau texte, et un resultat si monotone et ennuyeux... Nous n'avons jamais eu le courage ou la patience de l'ecouter integralement...	0
Il s'agit ici d'une musique très calme, alternant mélodies mélancoliques simples et passages plus atmosphériques où une certaine tension se fait sentir. Le thème principal et ses nombreuses variations sont superbes. Danny Elfman réutilise de manière anecdotique les deux premiers mouvements de sa Serenada Schizophrana. Le style général est résolument proche du courant de la musique répétitive ou minimaliste américaine. Un album au final très agréable qu'on réécoute avec plaisir !	1
je trouve cet album vraiment en dessou de ce que manu chao nous avait donné dans son ancien album. C'est trop repetitif,pauvre en parole, on a vraiment l'impression que cet album est constitué de face b non abouties. J'espere que le prochain album sera plus travaillé.	0
"Pourtant grand fan de Bjork, je suis avec impatience la sortie de chaque nouvel opus de l'islandaise et j'avoue que quand j'ai entendu pour la première fois le titre Earth Intruders, je me suis dit :""Ah, enfin, je vais retrouver du grand Bjork digne de l'époque d'Homogenic et Vespertine""! Et quelle ne fut pas ma déception en écoutant le reste de l'album qui n'est pas en accord du tout avec ce titre .... à part Earth Intruders, Wanderlust, Innocence et Declare Independance, le reste m'ennuie profondément. Certains sons paraissent repris de Vespertine mais sans le petit plus qui avait fait de cet album un vrai bijou. J'ai eu l'impression que Bjork n'avait pas su quoi mettre sur cet album et que l'inspiration lui avait cruellement manqué. Bref, j'attendais beaucoup trop peut-être de cet album après un Medulla sur lequel je n'avais pas accroché dès le début et auquel je me suis fait seulement après plusieurs écoutes. En résumé, pour ceux qui veulent découvrir le monde de la diva islandaise, pour moi, cet album ne reflète absolument pas son génie."	0
"ça y est, les maisons de disques se sont rendu compte que le néo vendait bien et nous voilà alors ""bombardé"" de ce genre de groupe qui plait tant aux jeunes. J'avais énormément apprècié le 1er album d'Enhancer, car mis à part les plans ""néo"" hyper connus, il y avait une certaine originalité qui venait s'ajouter au tout. D'ailleurs le son du 1er album était quelque peu ""pourri"", mais je trouve que cela donnait un résultat assez vrai, cru, mais vrai. Là, le son est tout simplement impréssionant, mais c'est tout, il y a peut-être quelques titres qui semblent sympa lors des 1ères écoutes, mais au bout d'une semaine vous en aurez vite fait le tour et ce CD restera alors dans votre CDthèque sans trop jamais vous manquer ..."	0
"""Angora sois la soie, sois encore à moi"" : telle est la dernière phrase que dit Bashung dans la magnifique 'Angora'. Rien que pour cette phrase et c'est peu, on devrait se procurer ce chef d'oeuvre. Une seule phrase de la poésie de Alain et Jean Fauque peut envouter l'écouteur. C'est comme cette enveloppe sonore qui plane le long des 4 minutes de 'Aucun Express' : une des plus belles musique écrite par l'ami depuis des lustres ! -Chatterton- annonçait -Fantaisie Militaire- qui de -Fantaisie Militaire- va donner -L'Imprudence-. Durant les 50 minutes de ce disque, on découvre 'Malaxe', sublime ouverture. 'La nuit je mens', un joyau venu du ciel qui est d'ailleurs un grand tube. L'interprétation est grandiose, la musique émouvante, écoutez ces violons et cette guitare acoustique qui couvre presque la voix rauque et enchantée de Alain. On continu avec l'électrique 'Fantaisie Militaire' qui est un véritable morceau de bravoure avec cette petite pointe de folie qui donne de la chaleur à l'interprétation du chanteur. S'en suit des perles comme '2043', la sublime 'Mes prisons' et 'Ode à la vie' comme si Bashung attaqué les genres à la fourche qu'il mani de façon innatendue. 'Dehors' avec ses nappes de cordes et le méprisant 'Samuel Hall' : pendant 5 minutes ça bouge pas, toujours le même rythme. Ca peut être fatiguant et énivrant mais c'est là le charme ! L'énivrance c'est ce qu'il y a de plus beau. Comme si Alain Bashung en pinçé pour la musique moderne, il fait une approche aux nouvelles tendances ""trip Hop"" (c'est comme ça que ça se dit) avec 'Au Pavillon des Lauriers' où l'imprudent se dit ""Je veux rester fou"". Tu le seras toujours, mais dans le sens artistique. Comme si le bonheur ne suffisait pas, 'Sommes-nous' installe un point très précis : ""la fin de l'album"". L'album se termine trop bien... On en redemande : ""Angora soit la soie, soit encore à moi"""	1
Genesis est le groupe qui m'a fait entrer dans le rock. J'avais 15 ans, l'air du temps était punk, et moi je bassinais mes copains avec Genesis. Avec le temps mes goûts sont devenus très éclectiques (de U2 à Tom Waits en passant par la chanson française), et j'ai un peu délaissé le progressif. J'ai redécouvert tout récemment Foxtrot, et tout est là, intact : la musicalité, la voix du Gab, les compositions complexes tout en restant accessibles, toujours un délice. Cela a beaucoup moins vieilli que pas mal de choses plus récentes.	1
